question,expected_doc_ids,min_hits,ground_truth_answer,query_type,version_sensitive
"Why does `StandardScaler` use `ddof=0` by default?","modules.preprocessing.standardization-or-mean-removal-and-variance-scaling",1,"It follows the maximum-likelihood (biased) variance estimator, which matches numpy.std's default and the convention used by most ML algorithms. Using ddof=1 would introduce a small bias for finite-sample tasks where you treat the training set as the population.",conceptual,false
"Why use stratified K-fold instead of plain K-fold for classification?","modules.cross_validation.stratified-k-fold|modules.cross_validation.computing-cross-validated-metrics",1,"Stratified K-fold preserves the per-class proportions across each fold. On imbalanced or small classification datasets that keeps the held-out metric stable; plain K-fold can put all positives in a single fold by chance.",conceptual,false
"Why must test data be transformed using parameters fit only on training data?","modules.cross_validation|modules.compose|modules.preprocessing",1,"Fitting transformer parameters (means, scales, vocabularies) on test data leaks information from the held-out set into the model, inflating apparent generalization performance. The discipline is fit-on-train, transform-on-everything.",conceptual,false
"Why is L1 regularization useful for feature selection?","modules.linear_model.lasso|modules.feature_selection.l1-based-feature-selection",1,"L1 penalizes the sum of absolute coefficients, which produces exact zeros at the optimum for irrelevant features. Inspecting the non-zero entries of the fitted coefficient vector gives you a selected feature subset for free.",conceptual,false
"Why does `LogisticRegression` use `lbfgs` as its default solver?","modules.linear_model.logistic-regression|modules.linear_model.solvers",1,"lbfgs is a quasi-Newton method that converges quickly on smooth convex objectives like L2-penalized logistic loss and natively handles multinomial classification. It's a reasonable default across small-to-medium datasets where L1 isn't needed.",conceptual,true
"When should I use KMeans versus DBSCAN?","modules.clustering.k-means|modules.clustering.dbscan",2,"KMeans is the right tool when you know (or can estimate) the number of clusters and expect roughly convex, similarly-sized groups; it scales well but is sensitive to outliers. DBSCAN is preferable when clusters have arbitrary shape, density varies, or you need explicit noise/outlier labels — but it requires tuning eps and min_samples and doesn't return a fixed cluster count.",comparative,false
"What's the difference between `OneHotEncoder` and `LabelEncoder`?","modules.preprocessing.encoding-categorical-features|modules.preprocessing.label-encoding-of-categorical-features|modules.preprocessing.onehotencoder",1,"OneHotEncoder is meant for input features: it expands each category into its own binary column. LabelEncoder is intended for target labels in classification — it maps category strings to integer codes — and isn't appropriate for feature columns of a linear model because the integer codes imply a spurious ordering.",comparative,false
"When should I choose `RandomForestClassifier` over `GradientBoostingClassifier`?","modules.ensemble.random-forests|modules.ensemble.gradient-boosted-trees|modules.ensemble.histogram-based-gradient-boosting",2,"Random forests train trees in parallel, are easier to tune, and resist overfitting well. Gradient boosting trains sequentially on residuals and usually wins on tabular benchmarks but needs more careful tuning of learning rate, depth, and early stopping. Use a forest when you want a strong baseline cheaply; reach for boosting when you've squeezed what you can from a forest and need more accuracy.",comparative,false
"Which classifier is the best one?","modules.ensemble|modules.multiclass|modules.supervised_learning|tutorial.machine_learning_map",1,"There is no universally best classifier — the right choice depends on data size, feature types, class imbalance, latency budget, and interpretability needs. The scikit-learn 'choosing the right estimator' guide and the user guides for the main families are the starting points for picking one to benchmark.",edge_case,false
"How do I make a model?","modules|tutorial",1,"Decide first whether the task is classification, regression, or clustering. Pick a corresponding estimator (e.g. LogisticRegression, Ridge, KMeans), fit it on your training data with .fit, and call .predict on new data. Tell me what kind of label you have and I can be more specific.",edge_case,false
"What's the weather in Paris today?","",0,"This assistant only answers questions about the scikit-learn documentation. I can't look up real-time weather; try a weather service instead.",off_topic,false
"Write me a poem about machine learning.","",0,"I'm scoped to scikit-learn documentation Q&A and don't generate creative writing here. Happy to explain an algorithm, an API, or a concept from the user guide instead.",off_topic,false
